@relation 'sadness file'

@attribute Headline string
@attribute sadness numeric

@data
'Disturbing finds in child sex raids',42
'Report criticises US press freedoms',13
'Sudan urges UN to replace its special envoy',0
'Peter Pan flies into chapter two',0
'Dead Bachelors in Remote China Still Find Wives',14
'Teacher in Hiding After Attack on Islam Stirs Threats',36
'Israel insists on Lebanon overflights',33
'Gunmen kill 11 in Iraq TV raid',76
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',0
'Did Viking Probes Miss Life on Mars?',10
'Mortar assault leaves at least 18 dead',64
'Britain to restrict immigrants from new EU members',4
'Waste plant fire forces 5,000 to evacuate',66
'Genghis Khan Beer? Mongolia Grimaces',0
'Cher\'s dress, car, bed have new owners',0
'Fitness: Bodies in Motion, Clean and Sober',0
'Russian ship sinks in Pacific',66
'Scientists create first cloaking device',0
'Three found alive from missing Russian ship -report',14
'Trailblazing trio protects City by the Bay',0
'Police warn of child exploitation online',43
'Yankee Dies in Plane Crash, Official Says',93
'German Chief Forges Accord on Financing Health Care',0
'Tumor Types May Explain Survival Rates for Cancer',24
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',49
'Making peace from victory over poverty',16
'Hungary police tackle violent protestors',27
'Amateur rocket scientists reach for space',0
'Nigeria hostage feared dead is freed',20
'Hurricane Paul nears Category 3 status',23
'Hacker unlocks Apple music download protection',0
'Ex-JonBenet suspect: Child porn case dropped',0
'Costner appeals in casino wrangle',15
'Lies, damned lies, and divorce',50
'Confusion Reigns In the Expanding Digital World',6
'Pit bulls jump miniature pony, leave her bloody',37
'Dem leader\'s $1 million land deal under scrutiny',13
'Cher items snapped up at auction',0
'Sony apologises for global battery recall',29
'Probe under way in Yankee crash',55
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',57
'College tuition continues climbing',40
'Madonna adoption bid approved',0
'Pamuk wins Nobel Literature prize',0
'War is close, Ethiopia tells Somali rebels',40
'Beating poverty in a small way',28
'Las Vegas honour for tiger pair',0
'Moderate drinking reduces men\'s heart attack risk',0
'Celebrities Protest Malibu Gas Facility',27
'Vegetables, not fruit, slow brain decline',2
'Life on Mars? Maybe We Missed It',3
'Kentucky wants to ban alcohol inhalers',0
'Israel admits using phosphorous shells in Lebanon',59
'Martian Life Could Have Evaded Detection by Viking Landers',4
'Dating difficult for Harry Potter',0
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',26
'School ends football season after 0-4 start',5
'Perfect lives lose their focus',16
