@relation 'anger file'

@attribute Headline string
@attribute anger numeric

@data
'With YouTube, Grad Student Hits Jackpot Again',0
'Lebo: A life lived on the edge',0
'Hurricane Paul nears Category 3 status',0
'Cher\'s dress, car, bed have new owners',0
'Women in their 60s \'are perfectly good mothers\'',19
'U.N. Force Is Treading Lightly on Lebanese Soil',0
'French suburb riots could resume',6
'Alaska town cut off from rest of state by flood',3
'Slain Amish girls laid to rest',22
'War is close, Ethiopia tells Somali rebels',52
'Man admits UK-US terror bomb plot',33
'Heavy use of mobile phones can make men infertile, scientists say',0
'Madonna adoption bid approved',0
'4th person dies after receiving flu shot',39
'Senator Says U.S. Should Rethink Iraq Strategy',0
'Madonna\'s new baby\'s daddy didn\'t realize adoption was `for good\'',0
'Tensions as Hungary marks uprising',25
'Madonna files adoption papers',0
'Pot smokers may avoid Alzheimer\'s, study says',0
'We were \'arrogant and stupid\' over Iraq, says US diplomat',42
'Britain to Limit Workers from Romania, Bulgaria',5
'Nicole Kidman asks dad to help stop husband\'s drinking',14
'Yankee pitcher\'s pilot log found',0
'Bad weather slows S.Korean search for Russian ship',6
'More Human Remains Found at Ground Zero',39
'Full recovery expected for marathon winner',0
'Iraqi Journalists Add Laws to List of Dangers',7
'Cleric Said to Lose Reins Over Part of Iraqi Militia',33
'Probe under way in Yankee crash',2
'Pit bulls jump miniature pony, leave her bloody',4
'Madonna files adoption papers in Malawi',0
'UK characters boosting box office',0
'German paper shows soldiers desecrating skull',43
'Sudan urges UN to replace its special envoy',12
'Top General Optimistic on Iraq',28
'Teen repellent inventor wins infamous prize',0
'Photographer kidnapped in Gaza',55
'Immigrants and French Reach Deal in Standoff',18
'Game on! London exhibition celebrates the history of video games',0
'Squirrel jumps boy in park; rabies suspected',28
'Who are you calling fat?',0
'Russian ship sinks, 18-member crew missing',5
'Global Sludge Ends in Tragedy for Ivory Coast',0
'Amish schoolhouse torn down',29
'US Troops Killed In October In Iraq',46
'Ottawa must redefine \'terror\'',0
'No evidence of ice reserves on the moon',0
'Amateur rocket scientists reach for space',0
'Routine mission turns into hunt for missing comrade',3
'Inconvenient truths',12
'Disturbing finds in child sex raids',50
'Advantage Cardinals with Suppan in Game 4',0
'Ex-Virginia gov not running for president',0
'Seduced by Snacks? No, Not You',26
'In God\'s Name: Religion-Based Tax Breaks: Housing to Paychecks to Books',0
'An Old Letter Casts Doubts on Iran\'s Goal for Uranium',0
'How to Prevent Iraq From Getting Even Worse',31
'Toddler died from E. coli tainted spinach',25
'Dad locked up son, watched on TV, police say',4
'Sony Hates Europeans, Will Prevent The Importing of PS3',34
'Combative Bush Releases Parts of Terror Study',34
'Sri Lanka clashes kill 129 troops',21
