@relation 'disgust file'

@attribute Headline string
@attribute disgust numeric

@data
'Disturbing finds in child sex raids',59
'Report criticises US press freedoms',24
'Sudan urges UN to replace its special envoy',6
'Peter Pan flies into chapter two',0
'Dead Bachelors in Remote China Still Find Wives',0
'Teacher in Hiding After Attack on Islam Stirs Threats',2
'Israel insists on Lebanon overflights',31
'Gunmen kill 11 in Iraq TV raid',33
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',0
'Did Viking Probes Miss Life on Mars?',0
'Mortar assault leaves at least 18 dead',2
'Britain to restrict immigrants from new EU members',8
'Waste plant fire forces 5,000 to evacuate',6
'Genghis Khan Beer? Mongolia Grimaces',0
'Cher\'s dress, car, bed have new owners',0
'Fitness: Bodies in Motion, Clean and Sober',0
'Russian ship sinks in Pacific',0
'Scientists create first cloaking device',0
'Three found alive from missing Russian ship -report',0
'Trailblazing trio protects City by the Bay',0
'Police warn of child exploitation online',64
'Yankee Dies in Plane Crash, Official Says',0
'German Chief Forges Accord on Financing Health Care',0
'Tumor Types May Explain Survival Rates for Cancer',0
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',0
'Making peace from victory over poverty',0
'Hungary police tackle violent protestors',0
'Amateur rocket scientists reach for space',0
'Nigeria hostage feared dead is freed',0
'Hurricane Paul nears Category 3 status',0
'Hacker unlocks Apple music download protection',14
'Ex-JonBenet suspect: Child porn case dropped',5
'Costner appeals in casino wrangle',0
'Lies, damned lies, and divorce',40
'Confusion Reigns In the Expanding Digital World',0
'Pit bulls jump miniature pony, leave her bloody',33
'Dem leader\'s $1 million land deal under scrutiny',10
'Cher items snapped up at auction',0
'Sony apologises for global battery recall',0
'Probe under way in Yankee crash',0
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',0
'College tuition continues climbing',31
'Madonna adoption bid approved',0
'Pamuk wins Nobel Literature prize',0
'War is close, Ethiopia tells Somali rebels',33
'Beating poverty in a small way',0
'Las Vegas honour for tiger pair',0
'Moderate drinking reduces men\'s heart attack risk',0
'Celebrities Protest Malibu Gas Facility',0
'Vegetables, not fruit, slow brain decline',0
'Life on Mars? Maybe We Missed It',2
'Kentucky wants to ban alcohol inhalers',0
'Israel admits using phosphorous shells in Lebanon',47
'Martian Life Could Have Evaded Detection by Viking Landers',0
'Dating difficult for Harry Potter',0
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',8
'School ends football season after 0-4 start',0
'Perfect lives lose their focus',0
