@relation 'surprise file'

@attribute Headline string
@attribute surprise numeric

@data
'Kate is marrying Doherty',41
'Sri Lanka clashes kill 129 troops',0
'Turkish Writers Say Efforts to Stifle Speech May Backfire',0
'Russian ship sinks, 18-member crew missing',0
'A Mix of Oil and Environmentalism',0
'Ashton Kutcher tells secret to Ryan Seacrest',11
'Questions on credit card safety',0
'Flooding washes out road to Valdez, Alaska',10
'Toddler died from tainted spinach',22
'Google to unveil election mashup',16
'Warner will not run in \'08',3
'Bombers kill shoppers',0
'Amish schoolhouse torn down',2
'Full recovery expected for marathon winner',13
'China launches two satellites into orbit',6
'Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out',6
'Kentucky seeks alcohol huffing ban',25
'Man admits UK-US terror bomb plot',0
'Madonna\'s new baby\'s daddy didn\'t realize adoption was `for good\'',62
'Madonna\'s New Tot \'Happy at Home\' in London',0
'U.S. Warns North Koreans About Nuclear Test',0
'Briton admits U.S. bomb plot role',0
'Active peace brings the promise of development',0
'Equipment on Plane in Brazil Collision May Have Been Faulty',38
'Iraqi Journalists Add Laws to List of Dangers',13
'Vegetables May Boost Brain Power in Older Adults',6
'Chefs not counting calories, study finds',0
'Britain to Limit Workers from Romania, Bulgaria',0
'Pair of Satellites Will Document Sun in 3-D',32
'Dow flirts with record highs again',51
'Amish killings school demolished',33
'Appeal by Chinese Researcher for Times May Soon Be Heard',1
'Seduced by Snacks? No, Not You',0
'$10,000 poetry prize awarded',11
'Abbas condemns Israeli massacre in northern Gaza Strip',0
'We\'re a pretty kind \'bully\'',0
'Combative Bush Releases Parts of Terror Study',21
'Iran\'s president urges higher birth rate',13
'Scientists discover miracle in the depths',47
'Bush Insists Troops Stay in Iraq, Predicts Midterm Victory',0
'Squirrel jumps boy in park; rabies suspected',62
'Cooking Defines Sephardic Jews at Sukkot',0
'4th person dies after receiving flu shot',0
'Charlie Sheen to become highest-paid sitcom star',10
'Toddler died from E. coli tainted spinach',0
'Game on! London exhibition celebrates the history of video games',6
'Who are you calling fat?',0
'UK announces immigration restrictions',16
'Dad locked up son, watched on TV, police say',0
'Sony Hates Europeans, Will Prevent The Importing of PS3',22
'Bad reasons to be good',3
'Lily Allen wins web music award',17
'United Finds Good Connection in Win',6
'Israeli Bomblets Plague Lebanon',0
'Commentary: Minutemen have a right to be idiotic',0
'An Old Letter Casts Doubts on Iran\'s Goal for Uranium',39
'Friends for Life: An Emerging Biology of Emotional Healing',16
'No evidence of ice reserves on the moon',10
'U.S. Weighs Sanctions Against North Korea',0
'How to Prevent Iraq From Getting Even Worse',0
'Nails-on-chalkboard study earns Ig',10
'\'Deep regret\' for ex-HP exec',6
'\'Opportunity\' knocks on geologist\'s dream crater',3
'\'Runway\': Making Good Without Making Nice',6
'A Picture and A Thousand Words',0
'Presto! He\'s Batman, then magic man',34
'Parachutist dies at bridge-jump festival',0
'PM: Havana deal a good experiment',28
'Slain Amish girls laid to rest',0
'Nicole Kidman asks dad to help stop husband\'s drinking',16
'Kim Osorio Wins Sexual Harrassment Suit Against The Source',0
'Tailors and housewives busy as Muslims celebrate Eid',0
'Gunman \'fine\' before shooting',10
'Student starts white men\'s club on campus',19
'Bad weather slows S.Korean search for Russian ship',0
'Italy drops Sicily bridge plans',45
'Griffiths scorns Withnail \'play\'',0
'Photographer kidnapped in Gaza',24
'Kurdish Lawmaker Killed in an Attack in Baghdad',0
'In God\'s Name: Religion-Based Tax Breaks: Housing to Paychecks to Books',10
'Bucs find a new kick in life',17
'Women in their 60s \'are perfectly good mothers\'',11
'Apple set for massive market gains',6
'Google To Launch Yet Another Search Tool',6
'Official laughs for Borat',0
'Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says',0
'Military Officials Add to U.S. Criticism of Iraq\'s Government',26
'Bangladesh ferry sinks, 15 dead',0
'Disturbing finds in child sex raids',0
'Report criticises US press freedoms',13
'Sudan urges UN to replace its special envoy',16
'Peter Pan flies into chapter two',26
'Dead Bachelors in Remote China Still Find Wives',27
'Teacher in Hiding After Attack on Islam Stirs Threats',0
'Israel insists on Lebanon overflights',0
'Gunmen kill 11 in Iraq TV raid',0
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',36
'Did Viking Probes Miss Life on Mars?',41
'Mortar assault leaves at least 18 dead',0
'Britain to restrict immigrants from new EU members',0
'Waste plant fire forces 5,000 to evacuate',0
'Genghis Khan Beer? Mongolia Grimaces',20
'Cher\'s dress, car, bed have new owners',2
'Fitness: Bodies in Motion, Clean and Sober',0
'Russian ship sinks in Pacific',12
'Scientists create first cloaking device',17
'Three found alive from missing Russian ship -report',57
'Trailblazing trio protects City by the Bay',6
'Police warn of child exploitation online',0
'Yankee Dies in Plane Crash, Official Says',0
'German Chief Forges Accord on Financing Health Care',15
'Tumor Types May Explain Survival Rates for Cancer',6
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',20
'Making peace from victory over poverty',0
'Hungary police tackle violent protestors',0
'Amateur rocket scientists reach for space',9
'Nigeria hostage feared dead is freed',65
'Hurricane Paul nears Category 3 status',6
'Hacker unlocks Apple music download protection',52
'Ex-JonBenet suspect: Child porn case dropped',0
'Costner appeals in casino wrangle',3
'Lies, damned lies, and divorce',0
'Confusion Reigns In the Expanding Digital World',19
'Pit bulls jump miniature pony, leave her bloody',0
'Dem leader\'s $1 million land deal under scrutiny',11
'Cher items snapped up at auction',2
'Sony apologises for global battery recall',0
'Probe under way in Yankee crash',0
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',0
'College tuition continues climbing',3
'Madonna adoption bid approved',29
'Pamuk wins Nobel Literature prize',10
'War is close, Ethiopia tells Somali rebels',0
'Beating poverty in a small way',0
'Las Vegas honour for tiger pair',36
'Moderate drinking reduces men\'s heart attack risk',0
'Celebrities Protest Malibu Gas Facility',0
'Vegetables, not fruit, slow brain decline',46
'Life on Mars? Maybe We Missed It',29
'Kentucky wants to ban alcohol inhalers',16
'Israel admits using phosphorous shells in Lebanon',16
'Martian Life Could Have Evaded Detection by Viking Landers',24
'Dating difficult for Harry Potter',8
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',0
'School ends football season after 0-4 start',5
'Perfect lives lose their focus',6
